"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"LION","Fidelity Southern Corporation","23.72","$620.03M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/lion",
"FDUS","Fidus Investment Corporation","16.16","$362.51M","2011","n/a","n/a","http://www.nasdaq.com/symbol/fdus",
"FRGI","Fiesta Restaurant Group, Inc.","29.45","$791.9M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/frgi",
"FSAM","Fifth Street Asset Management Inc.","6.95","$343.74M","2014","Finance","Investment Managers","http://www.nasdaq.com/symbol/fsam",
"FSC","Fifth Street Finance Corp.","5.48","$785.06M","2008","n/a","n/a","http://www.nasdaq.com/symbol/fsc",
"FSCFL","Fifth Street Finance Corp.","24.758","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fscfl",
"FSFR","Fifth Street Senior Floating Rate Corp.","8.98","$264.61M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fsfr",
"FITB","Fifth Third Bancorp","27.05","$20.4B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fitb",
"FITBI","Fifth Third Bancorp","27.67","$498.06M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fitbi",
"FNGN","Financial Engines, Inc.","37","$2.29B","2010","Finance","Investment Managers","http://www.nasdaq.com/symbol/fngn",
"FISI","Financial Institutions, Inc.","33.85","$491.76M","1999","Finance","Major Banks","http://www.nasdaq.com/symbol/fisi",
"FNSR","Finisar Corporation","29.34","$3.25B","1999","Technology","Semiconductors","http://www.nasdaq.com/symbol/fnsr",
"FNJN","Finjan Holdings, Inc.","1.21","$27.71M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/fnjn",
"FEYE","FireEye, Inc.","12.3","$2.1B","2013","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/feye",
"FBNC","First Bancorp","27","$561.28M","1987","Finance","Major Banks","http://www.nasdaq.com/symbol/fbnc",
"FNLC","First Bancorp, Inc (ME)","32.11","$346.52M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fnlc",
"FRBA","First Bank","11.7","$92.28M","2013","n/a","n/a","http://www.nasdaq.com/symbol/frba",
"BUSE","First Busey Corporation","30.8","$1.18B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/buse",
"FBIZ","First Business Financial Services, Inc.","23.59","$205.39M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fbiz",
"FCAP","First Capital, Inc.","32.8","$109.47M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fcap",
"FCFS","First Cash, Inc.","47.3","$2.29B","1991","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/fcfs",
"FCNCA","First Citizens BancShares, Inc.","354.99","$4.26B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcnca",
"FCBC","First Community Bancshares, Inc.","30.1","$511.38M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcbc",
"FCCO","First Community Corporation","17.95","$120.32M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcco",
"FCFP","First Community Financial Partners, Inc.","11.65","$200.82M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcfp",
"FBNK","First Connecticut Bancorp, Inc.","22.85","$361.24M","2011","Finance","Banks","http://www.nasdaq.com/symbol/fbnk",
"FDEF","First Defiance Financial Corp.","50.8","$456.24M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fdef",
"FFBC","First Financial Bancorp.","28.65","$1.78B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffbc",
"FFBCW","First Financial Bancorp.","18","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffbcw",
"FFIN","First Financial Bankshares, Inc.","45.2","$2.99B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffin",
"THFF","First Financial Corporation Indiana","52.2","$636.1M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/thff",
"FFNW","First Financial Northwest, Inc.","19.64","$214.69M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffnw",
"FFWM","First Foundation Inc.","28.33","$462.56M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ffwm",
"FGBI","First Guaranty Bancshares, Inc.","24.09","$183.31M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fgbi",
"FHB","First Hawaiian, Inc.","34.66","$4.84B","2016","Finance","Major Banks","http://www.nasdaq.com/symbol/fhb",
"INBK","First Internet Bancorp","31.75","$205.68M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/inbk",
"INBKL","First Internet Bancorp","24.8499","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/inbkl",
